NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
884,서울특별시 송파구 오금동,집합,서울특별시 동대문구 전농동 128-15번지,서울특별시 동대문구 전농로31나길 18 (전농동),제3종일반주거,판매,25m이상,12.6, ,"65,000",,개인,개인,202512,23,,1985.0,-,중개거래,서울 송파구,서울특별시 동대문구 전농동 128-15번지,서울특별시 동대문구 전농로31나길 18 (전농동),2단계: 건축년도+연면적
885,서울특별시 서초구 방배동,집합,1038,효령로,제3종일반주거,제1종근린생활,25m이상,6.75, ,"25,700",,개인,개인,202512,23,,1992.0,-,중개거래,서울 송파구,,,매칭실패
886,서울특별시 관악구 봉천동,집합,854-5,남부순환로224길,일반상업,제2종근린생활,8m미만,24.77, ,"19,700",3.0,개인,법인,202512,23,,2022.0,-,직거래,-,,,매칭실패
887,서울특별시 서초구 양재동,집합,153,,제3종일반주거,판매,25m미만,18.71, ,"29,000",,법인,법인,202512,23,,1991.0,-,중개거래,서울 강남구,,,매칭실패
888,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제1종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
889,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제2종근린생활,25m미만,510.3, ,"2,268,566",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
890,서울특별시 영등포구 여의도동,집합,서울특별시 도봉구 창동 578-71번지,서울특별시 도봉구 덕릉로59다길 41 (창동),일반상업,제2종근린생활,25m미만,648.64, ,"1,340,559",,법인,법인,202512,23,,1993.0,-,직거래,-,서울특별시 도봉구 창동 578-71번지,서울특별시 도봉구 덕릉로59다길 41 (창동),2단계: 건축년도+연면적
891,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,업무,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
892,서울특별시 영등포구 여의도동,집합,25,국제금융로2길,일반상업,제1종근린생활,25m미만,596.81, ,"795,839",,법인,법인,202512,23,,1993.0,-,직거래,-,,,매칭실패
893,서울특별시 서초구 방배동,일반,서울특별시 광진구 중곡동 613-2번지,서울특별시 광진구 동일로 334 (중곡동),제2종일반주거,제2종근린생활,25m미만,621.92,325.5,"800,000",,개인,개인,202512,22,,1983.0,-,중개거래,서울 서초구,서울특별시 광진구 중곡동 613-2번지,서울특별시 광진구 동일로 334 (중곡동),3단계: 오차범위±10%
894,서울특별시 서초구 서초동,집합,1601-7,효령로55길,일반상업,제2종근린생활,12m미만,16.03, ,"32,312",1.0,법인,법인,202512,22,,2024.0,-,직거래,-,,,매칭실패
895,서울특별시 서초구 서초동,집합,1757-1,,제3종일반주거,제1종근린생활,25m이상,27.04, ,"101,255",1.0,법인,개인,202512,22,,2021.0,-,직거래,-,,,매칭실패
896,서울특별시 서초구 서초동,집합,1757-1,,제3종일반주거,제1종근린생활,25m이상,27.07, ,"73,360",1.0,법인,개인,202512,22,,2021.0,-,직거래,-,,,매칭실패
897,서울특별시 서초구 서초동,집합,1446-11,서초중앙로,준주거,기타,25m이상,2701.62, ,"870,000",,법인,법인,202512,22,,2003.0,-,직거래,-,,,매칭실패
898,서울특별시 송파구 문정동,집합,643-1,법원로,일반상업,제2종근린생활,25m이상,78.42, ,"88,000",,법인,법인,202512,22,,2016.0,-,중개거래,서울 송파구,,,매칭실패
899,서울특별시 송파구 오금동,집합,43,오금로35길,제3종일반주거,제1종근린생활,25m이상,10.13, ,"29,610",,개인,개인,202512,22,지분,1984.0,-,직거래,-,,,매칭실패
900,서울특별시 송파구 장지동,집합,884,위례광장로,준주거,제2종근린생활,25m이상,159.29, ,"74,686",,법인,법인,202512,22,,2016.0,-,직거래,-,,,매칭실패
901,서울특별시 영등포구 문래동3가,집합,78,도림로,준공업,제2종근린생활,25m이상,25.65, ,"27,700",,개인,개인,202512,22,,,-,중개거래,서울 영등포구,,,매칭실패
902,서울특별시 송파구 오금동,집합,43,오금로35길,제3종일반주거,제1종근린생활,25m이상,10.13, ,"29,610",,개인,개인,202512,22,지분,1984.0,-,직거래,-,,,매칭실패
903,서울특별시 송파구 오금동,집합,서울특별시 영등포구 신길동 194-52번지,서울특별시 영등포구 도신로53길 3-4 (신길동),제3종일반주거,제1종근린생활,25m이상,13.8, ,"60,000",,개인,개인,202512,22,,1985.0,-,중개거래,서울 송파구,서울특별시 영등포구 신길동 194-52번지,서울특별시 영등포구 도신로53길 3-4 (신길동),2단계: 건축년도+연면적
